bank,heldout,batch,true_context,candidate,consistency_js,flip_top1_agreement,entropy_original,entropy_flip,prob_margin_original,js_to_zero_original
A,B,0,clean,clean,0.0018943079451308222,0.9500000000000001,1.558761869643956,1.5588702369596605,0.25974153851303067,0.0
A,B,0,clean,brightness_dark,0.008630626335599157,1.0,0.9552319033724935,0.9535686871166175,0.5196361377809045,0.11743916246150016
A,B,0,clean,contrast_low,0.004076386037445361,0.9500000000000001,0.990148252470701,1.0105525531872404,0.4934806708847065,0.1821655938604536
A,B,0,clean,gaussian_noise,0.001917305167343885,0.9,1.6563820097696578,1.655438477520773,0.2208200885726387,0.005562457086000124
A,B,0,clean,gaussian_blur,0.002546266454091813,0.8,1.3811549791481819,1.38935589120015,0.308725386763033,0.02580551963139064
A,B,1,clean,clean,0.0023958857273078575,0.8500000000000001,1.5163816004783859,1.5025798231856273,0.2372026976141134,0.0
A,B,1,clean,brightness_dark,0.013142105252554112,0.9,0.8919233148959645,0.9451318257736926,0.5080613971402326,0.13532858772122902
A,B,1,clean,contrast_low,0.0044399323902849,0.8500000000000001,0.8792479941079006,0.8786570459047166,0.5413446618176557,0.20241478763852527
A,B,1,clean,gaussian_noise,0.0021680999998943714,0.9,1.6045963543439037,1.5945497704131846,0.19371932411146847,0.005738335439208963
A,B,1,clean,gaussian_blur,0.003013140723171178,0.75,1.3209865851536549,1.3127697418065196,0.31891961366729854,0.03367140934746032
A,B,2,clean,clean,0.003086174759783206,0.9,1.3988609266944358,1.4091503955517948,0.3682363964426795,0.0
A,B,2,clean,brightness_dark,0.013093912581945175,0.9,0.8372407390010249,0.7570305998399287,0.561877360232909,0.09875574857124991
A,B,2,clean,contrast_low,0.013902888879853473,0.8,0.8063585364070518,0.8666084013235654,0.591581639931686,0.1895362152219925
A,B,2,clean,gaussian_noise,0.0029832270276964837,0.8500000000000001,1.5128130744742017,1.516221559684512,0.30187038585720116,0.006064959293257292
A,B,2,clean,gaussian_blur,0.0037904425380698155,0.9,1.2204737617678076,1.2232070007368065,0.40389932543271323,0.02552148668776912
A,B,3,clean,clean,0.0036965498305160244,0.9,1.4573496047366536,1.4473477189001969,0.2831246788780672,0.0
A,B,3,clean,brightness_dark,0.02253671608761169,0.8500000000000001,0.7526605349189183,0.7763486256911464,0.5931451814122879,0.1257527169311533
A,B,3,clean,contrast_low,0.004082199399142392,0.9500000000000001,0.5836182105075904,0.566151927917744,0.6900922678187005,0.20578249645049496
A,B,3,clean,gaussian_noise,0.0033839607800029503,0.75,1.603507764529682,1.604083066834907,0.20427402290439095,0.006921820744539903
A,B,3,clean,gaussian_blur,0.0038913978633563356,1.0,1.132275089222173,1.1157200016987288,0.4262782646838417,0.04101454879521661
