client,pool,target,context,n_query,prediction_key,accuracy,loss,worst_class_accuracy
0,A,brightness_dark,none,178,r0,6.741572916507721,2.9984097480773926,0.0
0,A,brightness_dark,clean_identity,178,r1,6.741572916507721,2.9984097480773926,0.0
0,A,brightness_dark,correct_pair,178,r2,31.460675597190857,2.164151191711426,0.0
0,A,brightness_dark,same_class_derangement,178,r3,16.853933036327362,2.90254807472229,0.0
0,A,brightness_dark,cross_class_derangement,178,r4,17.41573065519333,2.7538094520568848,0.0
0,A,brightness_dark,wrong_alt_source,178,r5,2.8089888393878937,2.9828250408172607,0.0
0,A,brightness_dark,noise_source,178,r6,11.797752976417542,3.041621208190918,0.0
0,B,brightness_dark,none,178,r7,6.741572916507721,2.9984097480773926,0.0
0,B,brightness_dark,clean_identity,178,r8,6.741572916507721,2.9984097480773926,0.0
0,B,brightness_dark,correct_pair,178,r9,31.460675597190857,2.1567275524139404,0.0
0,B,brightness_dark,same_class_derangement,178,r10,14.044943451881409,2.6431918144226074,0.0
0,B,brightness_dark,cross_class_derangement,178,r11,5.617977678775787,2.9259297847747803,0.0
0,B,brightness_dark,wrong_alt_source,178,r12,3.3707864582538605,2.952669382095337,0.0
0,B,brightness_dark,noise_source,178,r13,0.0,2.981848955154419,0.0
0,A,contrast_low,none,178,r14,5.056179687380791,2.8575429916381836,0.0
0,A,contrast_low,clean_identity,178,r15,5.056179687380791,2.8575429916381836,0.0
0,A,contrast_low,correct_pair,178,r16,19.10112351179123,2.5318331718444824,0.0
0,A,contrast_low,same_class_derangement,178,r17,16.853933036327362,2.9318130016326904,0.0
0,A,contrast_low,cross_class_derangement,178,r18,17.41573065519333,2.8217172622680664,0.0
0,A,contrast_low,wrong_alt_source,178,r19,9.550561755895615,2.729879140853882,0.0
0,A,contrast_low,noise_source,178,r20,15.168540179729462,3.0082688331604004,0.0
0,B,contrast_low,none,178,r21,5.056179687380791,2.8575429916381836,0.0
0,B,contrast_low,clean_identity,178,r22,5.056179687380791,2.8575429916381836,0.0
0,B,contrast_low,correct_pair,178,r23,20.224718749523163,2.514742851257324,0.0
0,B,contrast_low,same_class_derangement,178,r24,14.044943451881409,2.7934675216674805,0.0
0,B,contrast_low,cross_class_derangement,178,r25,5.617977678775787,2.9385626316070557,0.0
0,B,contrast_low,wrong_alt_source,178,r26,9.550561755895615,2.7217116355895996,0.0
0,B,contrast_low,noise_source,178,r27,1.123595517128706,2.9522011280059814,0.0
0,A,gaussian_noise,none,178,r28,26.404494047164917,2.346266269683838,0.0
0,A,gaussian_noise,clean_identity,178,r29,26.404494047164917,2.346266269683838,0.0
0,A,gaussian_noise,correct_pair,178,r30,26.404494047164917,2.2212929725646973,0.0
0,A,gaussian_noise,same_class_derangement,178,r31,16.853933036327362,2.9213802814483643,0.0
0,A,gaussian_noise,cross_class_derangement,178,r32,16.292135417461395,2.8467819690704346,0.0
0,A,gaussian_noise,wrong_alt_source,178,r33,34.83146131038666,2.7000224590301514,0.0
0,A,gaussian_noise,noise_source,178,r34,15.168540179729462,2.9931585788726807,0.0
0,B,gaussian_noise,none,178,r35,26.404494047164917,2.346266269683838,0.0
0,B,gaussian_noise,clean_identity,178,r36,26.404494047164917,2.346266269683838,0.0
0,B,gaussian_noise,correct_pair,178,r37,26.404494047164917,2.2144217491149902,0.0
0,B,gaussian_noise,same_class_derangement,178,r38,14.044943451881409,2.7730653285980225,0.0
0,B,gaussian_noise,cross_class_derangement,178,r39,5.617977678775787,2.9251325130462646,0.0
0,B,gaussian_noise,wrong_alt_source,178,r40,35.393258929252625,2.6786742210388184,0.0
0,B,gaussian_noise,noise_source,178,r41,1.123595517128706,2.9574031829833984,0.0
0,A,gaussian_blur,none,178,r42,25.280898809432983,2.2178432941436768,0.0
0,A,gaussian_blur,clean_identity,178,r43,25.280898809432983,2.2178432941436768,0.0
0,A,gaussian_blur,correct_pair,178,r44,30.89887797832489,2.142056465148926,0.0
0,A,gaussian_blur,same_class_derangement,178,r45,16.853933036327362,2.9234211444854736,0.0
0,A,gaussian_blur,cross_class_derangement,178,r46,16.853933036327362,2.824374198913574,0.0
0,A,gaussian_blur,wrong_alt_source,178,r47,30.89887797832489,2.4905405044555664,0.0
0,A,gaussian_blur,noise_source,178,r48,15.168540179729462,2.9943110942840576,0.0
0,B,gaussian_blur,none,178,r49,25.280898809432983,2.2178432941436768,0.0
0,B,gaussian_blur,clean_identity,178,r50,25.280898809432983,2.2178432941436768,0.0
0,B,gaussian_blur,correct_pair,178,r51,32.022473216056824,2.1343202590942383,0.0
0,B,gaussian_blur,same_class_derangement,178,r52,16.292135417461395,2.7224624156951904,0.0
0,B,gaussian_blur,cross_class_derangement,178,r53,5.056179687380791,2.921809434890747,0.0
0,B,gaussian_blur,wrong_alt_source,178,r54,34.83146131038666,2.5871360301971436,0.0
0,B,gaussian_blur,noise_source,178,r55,1.123595517128706,2.952822208404541,0.0
1,A,brightness_dark,none,99,r56,0.0,3.3121213912963867,0.0
1,A,brightness_dark,clean_identity,99,r57,0.0,3.3121213912963867,0.0
1,A,brightness_dark,correct_pair,99,r58,14.141413569450378,2.6048529148101807,0.0
1,A,brightness_dark,same_class_derangement,99,r59,4.040404036641121,3.146817207336426,0.0
1,A,brightness_dark,cross_class_derangement,99,r60,3.030303120613098,3.030355453491211,0.0
1,A,brightness_dark,wrong_alt_source,99,r61,0.0,3.2208759784698486,0.0
1,A,brightness_dark,noise_source,99,r62,2.0202020183205605,3.2488553524017334,0.0
1,B,brightness_dark,none,99,r63,0.0,3.3121213912963867,0.0
1,B,brightness_dark,clean_identity,99,r64,0.0,3.3121213912963867,0.0
1,B,brightness_dark,correct_pair,99,r65,14.141413569450378,2.5948853492736816,0.0
1,B,brightness_dark,same_class_derangement,99,r66,3.030303120613098,2.9221808910369873,0.0
1,B,brightness_dark,cross_class_derangement,99,r67,0.0,3.099318027496338,0.0
1,B,brightness_dark,wrong_alt_source,99,r68,0.0,3.199934720993042,0.0
1,B,brightness_dark,noise_source,99,r69,0.0,3.118947744369507,0.0
1,A,contrast_low,none,99,r70,1.0101010091602802,3.0600788593292236,0.0
1,A,contrast_low,clean_identity,99,r71,1.0101010091602802,3.0600788593292236,0.0
1,A,contrast_low,correct_pair,99,r72,5.050504952669144,2.9173028469085693,0.0
1,A,contrast_low,same_class_derangement,99,r73,4.040404036641121,3.1715519428253174,0.0
1,A,contrast_low,cross_class_derangement,99,r74,3.030303120613098,3.0748534202575684,0.0
1,A,contrast_low,wrong_alt_source,99,r75,3.030303120613098,3.0379836559295654,0.0
1,A,contrast_low,noise_source,99,r76,4.040404036641121,3.236928701400757,0.0
1,B,contrast_low,none,99,r77,1.0101010091602802,3.0600788593292236,0.0
1,B,contrast_low,clean_identity,99,r78,1.0101010091602802,3.0600788593292236,0.0
1,B,contrast_low,correct_pair,99,r79,4.040404036641121,2.9160313606262207,0.0
